District code,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,State,Latitude,Longitude,sex_ratio,literacy_rate
561,Gadag,1064570,537147,527423,700177,397178,302999,3373,198064,Karnataka,15.507128256880746,75.64861302752298,98.0,66.0
562,Dharwad,1847023,937206,909817,1301664,711776,589888,15013,347962,Karnataka,15.343831376975173,75.13831264108359,97.0,70.0
564,Haveri,1597668,819128,778540,1085443,603793,481650,2456,295937,Karnataka,14.737582809224318,75.3961230607966,95.0,68.0
565,Bellary,2452595,1236954,1215641,1421621,813440,608181,9626,440374,Karnataka,15.074377548209377,76.47228471074374,98.0,58.0
566,Chitradurga,1659456,840843,818613,1087392,607188,480204,5711,307257,Karnataka,14.29102220394736,76.57821957236843,97.0,66.0
567,Davanagere,1945497,986400,959097,1308540,720637,587903,7320,372671,Karnataka,14.330414586709884,75.91723841166937,97.0,67.0
568,Shimoga,1752753,877415,875338,1263016,674938,588078,8791,363835,Karnataka,14.063845885634592,75.17882078103197,100.0,72.0
569,Udupi,1177361,562131,615230,926429,465704,460725,9070,224814,Karnataka,13.450404228534568,74.72009990316337,109.0,79.0
570,Chikmagalur,1137961,566622,571339,818345,438257,380088,4510,238505,Karnataka,13.425288289676422,75.67626502311249,101.0,72.0
571,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,7971,562769,Karnataka,13.592467760074973,77.02297966260545,98.0,68.0
573,Mandya,1805769,905085,900684,1149649,638668,510981,3367,391033,Karnataka,12.574901806239744,76.81570098522172,100.0,64.0
574,Hassan,1776421,883667,892754,1225256,668836,556420,4851,400702,Karnataka,12.945098749999998,76.11049549999997,101.0,69.0
576,Kodagu,554519,274608,279911,412877,215302,197575,3308,113931,Karnataka,12.39684468085106,75.79336595744688,102.0,74.0
577,Mysore,3001127,1511600,1489527,1962180,1063766,898414,28397,640868,Karnataka,12.248100259403367,76.52881802853437,99.0,65.0
579,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,9752,404767,Karnataka,17.070459515951594,76.87503850385033,97.0,56.0
581,Kolar,1536401,776396,760005,1016219,564110,452109,5051,309494,Karnataka,13.312799881235172,78.01376947743476,98.0,66.0
583,Bangalore Rural,990923,509172,481751,688749,385311,303438,3729,214253,Karnataka,12.936827087794448,77.47369314775169,95.0,70.0
585,North Goa,818008,416677,401331,663060,351738,311322,23440,173951,Goa,15.548723418714054,73.80667997909038,96.0,81.0
586,South Goa,640537,322463,318074,502427,264085,238342,17624,138810,Goa,15.195278658183785,73.941792596877,99.0,78.0
588,Kasaragod,1307375,628613,678762,1037492,516476,521016,10378,237670,Kerala,12.33310309912974,75.07768497134369,108.0,79.0
589,Kannur,2523003,1181446,1341557,2138434,1012956,1125478,32653,511167,Kerala,11.941523076923056,75.35209891725934,114.0,85.0
590,Wayanad,817420,401684,415736,645585,328136,317449,4712,149864,Kerala,11.715277464788736,76.07587007042254,103.0,79.0
591,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504,36791,641660,Kerala,11.392924270557026,75.71158720159153,110.0,85.0
592,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911,27909,730119,Kerala,10.97329875666072,75.93910775606876,110.0,81.0
593,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892,27162,587583,Kerala,10.784926903553291,76.49980490693744,107.0,80.0
594,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287,56148,721625,Kerala,10.458932647907687,76.12321940836945,111.0,86.0
595,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953,88737,771287,Kerala,10.004879301987431,76.26957729035381,103.0,87.0
596,Idukki,1108974,552808,556166,923010,471881,451129,8250,244844,Kerala,9.80480963855423,77.04586641566264,101.0,83.0
597,Kottayam,1974551,968289,1006262,1749798,861592,888206,37849,464039,Kerala,9.643701174068417,76.46059673302705,104.0,89.0
598,Alappuzha,2127789,1013142,1114647,1852797,890552,962245,28842,507913,Kerala,9.542602965599087,76.38010796263319,110.0,87.0
600,Kollam,2635375,1246968,1388407,2240273,1074345,1165928,31542,630767,Kerala,8.929388820570157,76.6360775852431,111.0,85.0
601,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551,71621,783872,Kerala,8.537101759082221,76.88711502868073,109.0,84.0
602,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,75634,909400,Tamil Nadu,13.275858101752885,80.19724702864492,99.0,75.0
603,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,217368,1096334,Tamil Nadu,13.058098905608748,80.28139151846806,99.0,81.0
